claimID,date,amountClaimed
CL-000875,2024-06-30,2025
CL-000876,2025-05-27,1893
CL-000877,2025-03-05,9920
CL-000878,2024-02-02,47101
CL-000879,2024-11-22,14819
CL-000880,2024-06-22,13234
CL-000881,2025-10-01,2990
CL-000882,2024-11-26,4455
CL-000883,2024-06-18,3991
CL-000884,2024-02-27,30292
CL-000885,2024-12-29,1392
CL-000886,2024-06-11,10412
CL-000887,2025-09-14,6472
CL-000888,2024-10-16,14380
CL-000889,2025-12-05,8147
CL-000890,2025-03-10,11387
CL-000891,2025-12-17,8460
CL-000892,2025-05-03,1557
CL-000893,2025-12-22,12270
CL-000894,2025-11-15,39721
CL-000895,2025-02-28,9664
CL-000896,2024-09-30,6077
CL-000897,2024-09-23,1232
CL-000898,2024-03-07,11241
CL-000899,2025-03-25,6902
CL-000900,2025-09-08,8864
CL-000901,2024-01-05,12543
CL-000902,2024-09-19,822
CL-000903,2025-01-28,11961
CL-000904,2024-05-03,7720
CL-000905,2024-10-10,5299
CL-000906,2024-01-14,6487
CL-000907,2025-09-21,14447
CL-000908,2025-10-02,9111
CL-000909,2025-01-20,12087
CL-000910,2024-11-12,13278
CL-000911,2025-01-23,43656
CL-000912,2024-11-26,26330
CL-000913,2024-03-24,11994
CL-000914,2024-12-03,14556
CL-000915,2025-01-02,4996
CL-000916,2025-12-16,12697
CL-000917,2025-01-13,13561
CL-000918,2025-02-14,9908
CL-000919,2024-03-19,3231
CL-000920,2025-04-22,13373
CL-000921,2025-04-23,14495
CL-000922,2024-07-30,5456
CL-000923,2024-08-06,6400
CL-000924,2025-03-04,36066
CL-000925,2024-06-05,7017
CL-000926,2025-02-02,14091
CL-000927,2025-05-20,14640
CL-000928,2024-07-18,13447
CL-000929,2025-11-19,7908
CL-000930,2025-08-20,5499
CL-000931,2025-06-16,9176
CL-000932,2024-11-22,8147
CL-000933,2025-05-10,3764
CL-000934,2024-07-17,7192
CL-000935,2024-12-14,12442
CL-000936,2025-12-03,12608
CL-000937,2024-05-22,8561
CL-000938,2025-10-02,7376
CL-000939,2025-10-03,52141
CL-000940,2025-01-22,2277
CL-000941,2025-10-10,10041
CL-000942,2024-05-29,7419
CL-000943,2024-03-21,8145
CL-000944,2024-12-22,7993
CL-000945,2025-05-05,2784
CL-000946,2025-09-16,14718
CL-000947,2025-07-08,3618
CL-000948,2024-04-07,6273
CL-000949,2025-06-11,13775
CL-000950,2024-03-21,58241
CL-000951,2025-08-30,11152
CL-000952,2025-07-23,9842
CL-000953,2024-09-30,7733
CL-000954,2025-02-12,11786
CL-000955,2025-05-14,53840
CL-000956,2024-05-08,49917
CL-000957,2025-11-04,4801
CL-000958,2024-03-14,11480
CL-000959,2025-01-22,7501
CL-000960,2024-11-04,9831
CL-000961,2024-08-08,28238
CL-000962,2025-07-13,12095
CL-000963,2025-04-22,8472
CL-000964,2024-09-08,2353
CL-000965,2025-12-08,4013
CL-000966,2024-06-05,12015
CL-000967,2025-02-19,4693
CL-000968,2024-01-23,4505
CL-000969,2025-09-11,14122
CL-000970,2024-12-18,13597
CL-000971,2025-11-07,11303
CL-000972,2024-05-06,1820
CL-000973,2025-06-03,14233
CL-000974,2025-09-03,11082
CL-000975,2025-06-12,11628
CL-000976,2024-08-03,12708
CL-000977,2025-11-30,2749
CL-000978,2025-10-17,11497
CL-000979,2024-09-26,49501
CL-000980,2024-12-27,7850
CL-000981,2024-03-25,12078
CL-000982,2025-03-13,1104
CL-000983,2025-01-15,47768
CL-000984,2025-04-03,4728
CL-000985,2025-10-20,10274
CL-000986,2024-08-02,13037
CL-000987,2025-01-01,14896
CL-000988,2024-02-27,12046
CL-000989,2024-01-11,14323
CL-000990,2024-01-24,2539
CL-000991,2024-06-10,42741
CL-000992,2024-03-10,12317
CL-000993,2025-08-24,55625
CL-000994,2024-05-12,3984
CL-000995,2024-04-15,14716
CL-000996,2024-03-04,10014
CL-000997,2025-11-01,1999
CL-000998,2024-05-20,7588
CL-000999,2024-06-24,926
CL-001000,2025-11-06,21190
CL-001001,2025-01-07,9439
CL-001002,2024-06-08,2337
CL-001003,2024-01-16,893
CL-001004,2025-12-23,10571
CL-001005,2025-05-17,12399
CL-001006,2025-04-22,1547
CL-001007,2025-03-07,12038
CL-001008,2024-05-16,6422
CL-001009,2025-04-08,3559
CL-001010,2025-10-10,8576
CL-001011,2024-05-19,44662
CL-001012,2025-11-03,10525
CL-001013,2024-03-30,11273
CL-001014,2024-02-29,5086
CL-001015,2025-01-17,6062
CL-001016,2025-03-31,13812
CL-001017,2025-06-08,4842
CL-001018,2025-05-24,13101
CL-001019,2025-04-06,10140
CL-001020,2024-07-24,10428
CL-001021,2025-06-20,6716
CL-001022,2024-02-21,3599
CL-001023,2024-08-28,11047
CL-001024,2025-02-26,2202
CL-001025,2024-05-28,14880
CL-001026,2024-07-10,8734
CL-001027,2024-03-15,4007
CL-001028,2025-05-25,7247
CL-001029,2025-02-05,11654
CL-001030,2024-07-10,11956
CL-001031,2024-03-28,9089
CL-001032,2024-03-09,6855
CL-001033,2024-11-27,8329
CL-001034,2024-07-16,12999
CL-001035,2025-10-21,14566
CL-001036,2025-07-05,2905
CL-001037,2025-05-25,8940
CL-001038,2024-06-26,12292
CL-001039,2024-02-14,29732
CL-001040,2025-09-09,3391
CL-001041,2024-02-16,14091
CL-001042,2025-11-29,36432
CL-001043,2025-04-05,1103
CL-001044,2024-06-04,9948
CL-001045,2024-05-08,8760
CL-001046,2024-04-17,53343
CL-001047,2025-12-12,7375
CL-001048,2024-04-10,4652
CL-001049,2024-06-27,9508
CL-001050,2025-06-21,9751
CL-001051,2025-11-09,14988
CL-001052,2025-02-21,38136
CL-001053,2025-09-24,1396
CL-001054,2025-10-04,969
CL-001055,2025-09-16,10728
CL-001056,2025-05-05,8341
CL-001057,2024-11-12,11873
CL-001058,2025-01-02,3777
CL-001059,2025-01-02,55170
CL-001060,2024-11-22,10934
CL-001061,2025-09-27,2129
CL-001062,2024-06-04,14580
CL-001063,2024-02-05,12064
CL-001064,2024-01-27,22423
CL-001065,2024-02-06,49918
CL-001066,2024-09-16,8184
CL-001067,2025-07-30,5456
CL-001068,2025-10-01,10090
CL-001069,2024-06-27,1375
CL-001070,2024-02-20,4694
CL-001071,2025-12-12,9825
CL-001072,2024-09-11,14462
CL-001073,2025-11-30,4275
CL-001074,2025-11-29,8692
CL-001075,2025-04-11,13134
CL-001076,2024-03-17,5426
CL-001077,2025-06-22,6646
CL-001078,2024-02-05,3787
CL-001079,2024-04-28,26481
CL-001080,2024-10-26,8855
CL-001081,2025-06-04,5303
CL-001082,2025-05-16,8024
CL-001083,2024-02-24,14823
CL-001084,2024-04-19,4192
CL-001085,2024-01-09,6682
CL-001086,2025-05-12,11445
CL-001087,2025-07-23,8739
CL-001088,2024-09-23,11493
CL-001089,2025-12-03,3820
CL-001090,2025-01-17,2720
CL-001091,2024-03-14,1655
CL-001092,2025-10-31,11871
CL-001093,2025-12-12,4906
CL-001094,2024-09-29,32363
CL-001095,2025-08-01,4501
CL-001096,2025-06-27,4937
CL-001097,2025-01-19,12635
CL-001098,2025-04-18,10265
CL-001099,2025-07-25,3093
CL-001100,2024-11-22,11662
CL-001101,2024-05-08,5577
CL-001102,2025-07-16,5156
CL-001103,2025-10-15,8021
CL-001104,2024-08-26,30954
CL-001105,2025-07-23,6428
CL-001106,2024-05-21,6504
CL-001107,2024-09-15,6468
CL-001108,2024-10-09,6353
CL-001109,2024-08-08,9667
CL-001110,2025-02-28,2790
CL-001111,2025-01-31,12171
CL-001112,2025-04-03,4365
CL-001113,2024-06-03,5642
CL-001114,2024-03-21,46293
CL-001115,2025-04-08,9821
CL-001116,2025-02-04,14548
CL-001117,2025-09-25,11844
CL-001118,2024-07-24,6193
CL-001119,2024-02-02,12780
CL-001120,2025-06-21,3098
CL-001121,2024-02-08,35832
CL-001122,2025-04-15,42779
CL-001123,2025-04-18,6637
CL-001124,2025-12-01,3212
CL-001125,2025-11-12,6631
CL-001126,2024-03-16,815
CL-001127,2025-10-08,1516
CL-001128,2025-06-30,39733
CL-001129,2025-11-29,1040
CL-001130,2024-12-05,5223
CL-001131,2024-09-04,10167
CL-001132,2025-01-22,9257
CL-001133,2025-04-07,9946
CL-001134,2024-05-13,7661
CL-001135,2025-02-24,11189
CL-001136,2024-01-02,13718
CL-001137,2025-10-17,7021
CL-001138,2025-02-01,942
CL-001139,2024-07-03,5872
CL-001140,2025-10-28,11687
CL-001141,2025-03-14,26511
CL-001142,2025-02-20,23249
CL-001143,2025-01-20,6790
CL-001144,2025-05-22,13892
CL-001145,2024-04-08,10274
CL-001146,2024-07-14,13664
CL-001147,2025-02-28,10639
CL-001148,2024-04-21,5668
CL-001149,2024-03-18,2686
CL-001150,2024-02-15,1705
CL-001151,2025-07-28,12934
CL-001152,2024-01-29,2745
CL-001153,2025-08-02,4080
CL-001154,2025-10-24,12540
CL-001155,2025-01-01,1433
CL-001156,2025-03-21,31787
CL-001157,2025-08-23,57006
CL-001158,2024-04-22,3845
CL-001159,2024-09-14,14337
CL-001160,2025-07-25,7115
CL-001161,2025-01-04,24418
CL-001162,2024-04-07,2439
CL-001163,2025-10-06,2922
CL-001164,2025-06-03,13395
CL-001165,2024-03-09,11820
CL-001166,2025-08-08,10120
CL-001167,2024-10-15,12427
CL-001168,2025-09-15,33040
CL-001169,2025-03-11,11492
CL-001170,2025-10-11,13453
CL-001171,2024-06-11,861
CL-001172,2024-11-08,10264
CL-001173,2024-11-27,3315
CL-001174,2025-06-12,13721
CL-001175,2025-04-24,9475
CL-001176,2025-08-31,9424
CL-001177,2025-12-23,56314
CL-001178,2024-05-31,13226
CL-001179,2024-11-24,8739
CL-001180,2025-06-25,12226
CL-001181,2024-01-15,1980
CL-001182,2024-05-26,1096
CL-001183,2025-07-14,8646
CL-001184,2025-09-24,57406
CL-001185,2024-05-17,10798
CL-001186,2025-08-01,51338
CL-001187,2024-03-31,45455
CL-001188,2025-03-17,10437
CL-001189,2024-09-25,11961
CL-001190,2025-02-17,8379
CL-001191,2025-03-12,14469
CL-001192,2025-03-27,3425
CL-001193,2024-10-03,54084
CL-001194,2024-08-22,11972
CL-001195,2025-12-24,4265
CL-001196,2025-12-11,3314
CL-001197,2025-11-15,5998
CL-001198,2024-05-28,27120
CL-001199,2025-02-13,3170
CL-001200,2024-10-12,12834
CL-001201,2024-08-17,7507
CL-001202,2025-03-17,5700
CL-001203,2024-03-22,14414
CL-001204,2024-08-08,13041
CL-001205,2024-02-09,9545
CL-001206,2024-12-18,37445
CL-001207,2024-04-02,5626
CL-001208,2024-09-09,1661
CL-001209,2025-07-08,7184
CL-001210,2024-04-12,4295
CL-001211,2025-09-16,12916
CL-001212,2025-05-02,6134
CL-001213,2024-02-26,9951
CL-001214,2024-12-04,14272
CL-001215,2025-05-14,13151
CL-001216,2024-12-05,1529
CL-001217,2024-11-19,1395
CL-001218,2024-12-14,4248
CL-001219,2025-09-02,2760
CL-001220,2025-01-05,8657
CL-001221,2025-12-31,10965
CL-001222,2025-07-18,14525
CL-001223,2024-06-01,13704
CL-001224,2025-11-07,6623
CL-001225,2025-03-13,11690
CL-001226,2025-07-12,11501
CL-001227,2024-07-11,13258
CL-001228,2025-02-26,2173
CL-001229,2024-05-15,4304
CL-001230,2024-01-12,14083
CL-001231,2024-05-02,3911
CL-001232,2024-11-20,26612
CL-001233,2024-06-15,12780
CL-001234,2024-10-20,7874
CL-001235,2024-02-20,3126
CL-001236,2024-09-02,14188
CL-001237,2024-10-29,12949
CL-001238,2024-04-23,10249
CL-001239,2024-12-28,10119
CL-001240,2024-04-22,12240
CL-001241,2025-02-09,4423
CL-001242,2025-12-05,1225
CL-001243,2024-01-31,13097
CL-001244,2025-09-13,8699
CL-001245,2024-11-27,4597
CL-001246,2025-02-20,9568
CL-001247,2024-03-19,9423
CL-001248,2024-11-14,3927
CL-001249,2024-12-21,1886
CL-001250,2025-11-05,8084
CL-001251,2024-08-19,46078
CL-001252,2024-02-29,5353
CL-001253,2025-02-01,8554
CL-001254,2024-04-14,2923
CL-001255,2024-10-20,13350
CL-001256,2025-12-28,6575
CL-001257,2024-05-17,6754
CL-001258,2024-12-31,906
CL-001259,2024-03-25,2136
CL-001260,2025-11-09,4860
CL-001261,2024-07-21,7637
CL-001262,2025-05-24,43412
CL-001263,2024-10-24,11255
CL-001264,2025-11-26,10347
CL-001265,2024-08-26,13021
CL-001266,2025-02-07,8383
CL-001267,2024-05-12,13632
CL-001268,2024-03-20,12624
CL-001269,2025-11-30,1951
CL-001270,2024-04-15,6022
CL-001271,2024-04-04,7822
CL-001272,2025-06-26,2579
CL-001273,2025-05-03,23680
CL-001274,2024-06-25,12184
CL-001275,2025-01-20,7627
CL-001276,2025-12-27,12426
CL-001277,2024-06-21,6708
CL-001278,2025-04-25,28309
CL-001279,2024-05-16,12276
CL-001280,2025-07-14,11107
CL-001281,2025-01-03,2515
CL-001282,2024-01-13,40602
CL-001283,2024-01-19,13591
CL-001284,2024-09-15,23992
CL-001285,2025-04-19,2126
CL-001286,2024-03-12,13160
CL-001287,2024-01-04,3608
CL-001288,2025-06-10,13445
CL-001289,2025-06-05,10780
CL-001290,2025-01-03,6400
CL-001291,2025-10-08,12591
CL-001292,2024-08-19,5412
CL-001293,2024-04-23,5618
CL-001294,2024-06-27,51714
CL-001295,2025-05-02,5565
CL-001296,2025-01-05,3662
CL-001297,2024-04-09,8707
CL-001298,2025-05-28,9827
CL-001299,2025-04-04,8911
CL-001300,2025-07-18,12863
CL-001301,2024-07-31,14024
CL-001302,2025-11-15,6585
CL-001303,2025-05-10,5261
CL-001304,2025-03-03,827
CL-001305,2025-08-20,13634
CL-001306,2024-05-07,8853
CL-001307,2025-02-15,7441
CL-001308,2025-12-31,3242
CL-001309,2025-03-31,13022
CL-001310,2025-12-05,4094
CL-001311,2024-03-10,36334
CL-001312,2025-12-18,5963
CL-001313,2025-08-18,6537
CL-001314,2025-08-10,23178
CL-001315,2025-08-07,9150
CL-001316,2024-08-17,9004
CL-001317,2024-12-27,1218
CL-001318,2025-12-27,823
CL-001319,2024-06-24,898
CL-001320,2025-12-12,6605
CL-001321,2025-04-21,3369
CL-001322,2024-10-05,11359
CL-001323,2025-05-12,1962
CL-001324,2025-03-26,51411
CL-001325,2025-05-08,5107
CL-001326,2024-05-17,14377
CL-001327,2024-08-15,13052
CL-001328,2025-05-22,3867
CL-001329,2024-09-16,5040
CL-001330,2024-12-16,28398
CL-001331,2025-01-10,12110
CL-001332,2024-12-10,33587
CL-001333,2025-05-26,5953
CL-001334,2025-09-18,10249
CL-001335,2024-07-10,7633
CL-001336,2024-01-22,5015
CL-001337,2024-07-12,7009
CL-001338,2025-07-24,14149
CL-001339,2024-04-29,9572
CL-001340,2024-05-19,4703
CL-001341,2025-03-16,20815
CL-001342,2025-03-13,3291
CL-001343,2024-10-03,1350
CL-001344,2025-08-11,8260
CL-001345,2025-01-09,10055
CL-001346,2024-09-17,14189
CL-001347,2024-11-05,2342
CL-001348,2024-04-17,6120
CL-001349,2025-08-13,12106
CL-001350,2024-01-12,1100
CL-001351,2024-03-26,7082
CL-001352,2024-12-27,35954
CL-001353,2024-08-16,11147
CL-001354,2024-08-17,13058
CL-001355,2024-06-19,5332
CL-001356,2025-02-19,3390
CL-001357,2024-02-12,1965
CL-001358,2024-07-20,14988
CL-001359,2024-05-08,5242
CL-001360,2024-02-28,4287
CL-001361,2024-09-14,4249
CL-001362,2024-06-11,58658
CL-001363,2025-01-22,13815
CL-001364,2024-05-19,2004
CL-001365,2025-12-19,14112
CL-001366,2024-02-08,37967
CL-001367,2025-04-20,38840
CL-001368,2025-12-06,6331
CL-001369,2025-03-20,13017
CL-001370,2024-08-09,1309
CL-001371,2025-08-17,14927
CL-001372,2024-01-22,5184
CL-001373,2024-12-14,4576
CL-001374,2024-05-21,13425
CL-001375,2024-05-31,51423
CL-001376,2024-08-13,14045
CL-001377,2024-03-09,9300
CL-001378,2025-01-22,9628
CL-001379,2024-03-06,14242
CL-001380,2025-12-16,6929
CL-001381,2024-08-16,8267
CL-001382,2025-09-30,41876
CL-001383,2025-09-21,1356
CL-001384,2025-08-12,2436
CL-001385,2024-04-03,10327
CL-001386,2025-03-25,4391
CL-001387,2024-11-02,3241
CL-001388,2024-03-16,7956
CL-001389,2025-08-30,11158
CL-001390,2025-07-14,14476
CL-001391,2025-03-04,14973
CL-001392,2025-01-11,3359
CL-001393,2025-09-04,8212
CL-001394,2024-12-07,40743
CL-001395,2025-06-11,4238
CL-001396,2025-10-17,9521
CL-001397,2024-04-04,9126
CL-001398,2024-03-22,13313
CL-001399,2025-11-12,13354
CL-001400,2024-11-09,2977
CL-001401,2025-05-27,7033
CL-001402,2024-12-19,1289
CL-001403,2024-11-20,13888
CL-001404,2024-08-02,24185
CL-001405,2025-02-05,4435
CL-001406,2024-05-16,14046
CL-001407,2025-04-02,7801
CL-001408,2025-04-26,9788
CL-001409,2024-10-26,2896
CL-001410,2025-05-30,6116
CL-001411,2024-07-29,821
CL-001412,2025-08-22,6371
CL-001413,2025-11-05,10330
CL-001414,2024-08-30,14738
CL-001415,2025-02-13,1731
CL-001416,2024-02-21,7401
CL-001417,2025-09-30,6372
CL-001418,2024-05-25,1811
CL-001419,2025-10-07,12052
CL-001420,2024-07-09,12161
CL-001421,2025-08-03,2259
CL-001422,2025-09-18,9954
CL-001423,2025-11-04,5240
CL-001424,2024-01-12,9216
CL-001425,2024-03-31,12038
CL-001426,2025-09-11,4792
CL-001427,2024-04-02,11235
CL-001428,2024-10-05,6925
CL-001429,2024-05-09,6986
CL-001430,2024-11-07,7247
CL-001431,2024-12-04,4531
CL-001432,2025-02-26,14875
CL-001433,2025-11-18,6777
CL-001434,2025-12-05,43841
CL-001435,2024-06-30,1942
CL-001436,2025-08-19,14383
CL-001437,2025-10-17,3347
CL-001438,2025-12-15,10256
CL-001439,2025-12-27,56101
CL-001440,2024-10-10,13883
CL-001441,2024-05-08,9904
CL-001442,2024-06-21,6058
CL-001443,2025-08-11,4623
CL-001444,2025-09-02,14006
CL-001445,2025-04-21,3407
CL-001446,2024-12-10,10995
CL-001447,2025-07-17,1996
CL-001448,2025-10-31,3193
CL-001449,2025-03-15,52861
CL-001450,2025-12-11,14558
CL-001451,2024-02-07,6941
CL-001452,2024-07-10,5833
CL-001453,2025-09-01,14707
CL-001454,2025-01-22,14782
CL-001455,2024-09-26,44124
CL-001456,2024-07-28,33519
CL-001457,2024-09-17,11589
CL-001458,2024-10-07,4578
CL-001459,2024-06-22,14050
CL-001460,2024-07-15,1032
CL-001461,2025-11-18,3733
CL-001462,2025-02-03,10459
CL-001463,2024-07-02,13240
CL-001464,2024-02-18,5240
CL-001465,2024-08-15,7748
CL-001466,2024-07-27,5766
CL-001467,2024-12-31,2155
CL-001468,2024-11-28,6925
CL-001469,2024-04-20,10377
CL-001470,2025-06-02,3585
CL-001471,2025-01-10,42816
CL-001472,2025-01-06,4724
CL-001473,2024-03-04,5641
CL-001474,2024-10-18,9928
CL-001475,2025-01-14,45135
CL-001476,2025-11-07,6264
CL-001477,2025-08-30,9727
CL-001478,2024-09-02,45762
CL-001479,2025-12-05,2471
CL-001480,2024-04-28,12322
CL-001481,2025-07-02,58850
CL-001482,2025-01-23,14870
CL-001483,2025-03-11,8178
CL-001484,2025-10-26,13042
CL-001485,2025-06-20,14610
CL-001486,2025-06-05,1346
CL-001487,2024-08-31,13977
CL-001488,2025-05-05,6364
CL-001489,2024-04-02,45730
CL-001490,2025-03-17,5078
CL-001491,2024-02-23,1491
CL-001492,2024-11-08,7039
CL-001493,2025-06-14,6851
CL-001494,2025-07-31,4635
CL-001495,2025-06-20,1051
CL-001496,2025-08-10,6964
CL-001497,2024-12-29,4480
CL-001498,2024-05-21,9497
CL-001499,2025-01-08,3366
CL-001500,2025-04-04,6294
CL-001501,2025-03-27,57956
CL-001502,2025-05-17,12880
CL-001503,2024-04-02,10427
CL-001504,2025-08-22,35421
CL-001505,2024-10-13,13693
CL-001506,2024-09-08,10826
CL-001507,2025-05-21,54271
CL-001508,2025-05-17,13250
CL-001509,2025-07-29,1068
CL-001510,2024-10-29,10490
CL-001511,2024-09-30,11207
CL-001512,2024-12-31,31974
CL-001513,2024-06-27,9750
CL-001514,2025-02-21,2355
CL-001515,2025-08-23,7401
CL-001516,2024-01-20,7700
CL-001517,2024-01-30,1093
CL-001518,2025-03-30,9946
CL-001519,2025-08-15,40629
CL-001520,2024-03-15,5563
CL-001521,2025-05-18,5023
CL-001522,2025-08-25,13405
CL-001523,2025-12-09,3456
CL-001524,2025-06-07,1306
CL-001525,2024-06-11,1855
CL-001526,2024-03-03,3834
CL-001527,2025-06-18,14976
CL-001528,2024-11-23,2816
CL-001529,2025-08-31,3139
CL-001530,2025-07-10,11532
CL-001531,2024-04-19,2416
CL-001532,2024-10-05,10643
CL-001533,2025-08-11,5470
CL-001534,2025-04-30,8392
CL-001535,2025-03-31,6899
CL-001536,2024-03-26,45639
CL-001537,2024-02-25,7781
CL-001538,2025-07-26,6564
CL-001539,2024-12-04,13410
CL-001540,2024-10-04,5823
CL-001541,2024-09-04,1863
CL-001542,2024-06-09,3034
CL-001543,2025-04-19,1075
CL-001544,2024-10-21,21980
CL-001545,2024-11-02,10557
CL-001546,2024-07-07,45136
CL-001547,2025-10-03,12919
CL-001548,2024-11-04,29961
CL-001549,2024-08-28,6919
CL-001550,2025-04-16,13925
CL-001551,2024-05-05,4883
CL-001552,2025-05-21,11823
CL-001553,2025-01-08,2837
CL-001554,2025-08-26,14223
CL-001555,2025-05-11,11262
CL-001556,2025-09-20,6874
CL-001557,2024-07-19,1870
CL-001558,2025-05-21,9003
CL-001559,2024-04-16,34237
CL-001560,2024-06-24,12118
CL-001561,2025-08-02,11410
CL-001562,2025-10-21,3814
CL-001563,2024-08-19,11128
CL-001564,2025-10-13,9977
CL-001565,2024-03-21,10584
CL-001566,2025-07-07,48218
CL-001567,2025-01-31,7567
CL-001568,2024-01-22,7154
CL-001569,2024-09-16,7715
CL-001570,2025-04-04,13176
CL-001571,2024-08-31,2387
CL-001572,2025-02-06,6824
CL-001573,2024-03-03,12715
CL-001574,2024-12-07,27347
CL-001575,2025-06-26,10754
CL-001576,2024-08-23,1719
CL-001577,2024-01-31,7184
CL-001578,2024-07-27,6098
CL-001579,2025-12-22,29198
CL-001580,2025-12-01,5108
CL-001581,2025-09-30,5851
CL-001582,2024-03-25,8862
CL-001583,2025-11-24,13804
CL-001584,2025-03-31,49648
CL-001585,2025-08-06,2381
CL-001586,2025-10-30,1057
CL-001587,2025-08-08,33711
CL-001588,2025-07-19,1268
CL-001589,2024-09-24,9913
CL-001590,2024-02-02,4307
CL-001591,2024-05-24,11018
CL-001592,2024-12-25,835
CL-001593,2025-07-03,7414
CL-001594,2025-10-04,13281
CL-001595,2024-08-19,6393
CL-001596,2024-01-24,22662
CL-001597,2024-06-20,14634
CL-001598,2025-07-16,11480
CL-001599,2025-03-06,9406
CL-001600,2024-01-30,11726
CL-001601,2024-04-29,11639
CL-001602,2025-06-05,6827
CL-001603,2024-04-02,48131
CL-001604,2024-10-18,11819
CL-001605,2025-02-08,997
CL-001606,2025-06-16,7248
CL-001607,2025-04-24,13868
CL-001608,2024-04-17,14612
CL-001609,2024-11-11,9828
CL-001610,2024-11-04,11018
CL-001611,2025-05-19,4288
CL-001612,2025-04-07,2008
CL-001613,2025-06-23,11373
CL-001614,2024-11-18,1947
CL-001615,2024-09-10,6805
CL-001616,2025-11-17,2825
CL-001617,2024-11-15,5341
CL-001618,2025-02-25,6935
CL-001619,2024-10-02,12891
CL-001620,2024-07-04,14650
CL-001621,2025-10-09,14467
CL-001622,2024-04-29,7891
CL-001623,2024-05-20,8393
CL-001624,2024-07-03,13652
CL-001625,2024-10-12,12642
CL-001626,2024-05-10,11326
CL-001627,2025-04-12,3265
CL-001628,2024-02-19,2970
CL-001629,2024-01-08,36943
CL-001630,2024-03-02,13826
CL-001631,2025-07-19,3277
CL-001632,2025-01-19,11359
CL-001633,2024-07-30,3805
CL-001634,2024-06-20,8645
CL-001635,2024-04-10,2225
CL-001636,2025-05-26,5073
CL-001637,2025-08-02,3974
CL-001638,2024-09-14,6245
CL-001639,2024-06-15,14936
CL-001640,2024-04-11,13514
CL-001641,2024-02-06,6066
CL-001642,2024-09-24,2089
CL-001643,2025-09-20,8120
CL-001644,2024-07-29,4613
CL-001645,2025-04-07,6562
CL-001646,2024-02-02,9497
CL-001647,2025-03-28,2948
CL-001648,2024-03-15,40154
CL-001649,2025-09-05,1782
CL-001650,2024-09-14,37771
CL-001651,2024-01-02,5661
CL-001652,2024-05-14,4826
CL-001653,2024-06-12,6017
CL-001654,2025-09-27,11430
CL-001655,2024-04-25,32072
CL-001656,2025-04-17,5263
CL-001657,2025-11-13,6030
CL-001658,2025-10-23,2225
CL-001659,2024-05-19,11106
CL-001660,2025-08-23,11260
CL-001661,2024-03-11,2755
CL-001662,2024-03-05,1362
CL-001663,2025-05-05,12550
CL-001664,2025-07-26,8636
CL-001665,2025-02-21,2633
CL-001666,2024-06-19,10705
CL-001667,2025-08-05,6657
CL-001668,2024-03-04,3325
CL-001669,2025-04-19,9563
CL-001670,2025-10-26,43981
CL-001671,2025-06-20,3141
CL-001672,2024-08-13,2907
CL-001673,2024-04-01,11102
CL-001674,2025-05-14,11996
CL-001675,2024-12-16,9703
CL-001676,2024-07-22,45840
CL-001677,2025-12-21,1053
CL-001678,2025-03-02,3421
CL-001679,2024-01-05,7389
CL-001680,2025-08-22,11242
CL-001681,2025-09-05,8197
CL-001682,2024-10-08,12836
CL-001683,2025-09-22,13135
CL-001684,2024-04-13,2594
CL-001685,2025-12-27,9684
CL-001686,2025-08-19,14296
CL-001687,2024-03-28,13657
CL-001688,2025-01-01,7536
CL-001689,2025-01-30,3702
CL-001690,2025-07-01,11184
CL-001691,2024-10-18,56326
CL-001692,2025-09-01,2142
CL-001693,2025-03-07,1302
CL-001694,2025-03-18,14575
CL-001695,2025-02-05,9733
CL-001696,2025-08-15,1966
CL-001697,2024-08-10,25040
CL-001698,2024-04-09,12882
CL-001699,2025-03-11,6342
CL-001700,2025-07-17,3548
CL-001701,2024-12-18,3524
CL-001702,2025-07-28,3263
CL-001703,2025-07-08,1128
CL-001704,2025-08-16,11587
CL-001705,2024-11-20,5609
CL-001706,2024-03-20,13405
CL-001707,2024-05-26,11365
CL-001708,2024-02-23,40505
CL-001709,2024-06-07,13492
CL-001710,2024-07-14,14742
CL-001711,2024-03-23,12852
CL-001712,2024-01-12,11100
CL-001713,2025-05-15,13588
CL-001714,2024-10-11,10080
CL-001715,2024-11-18,7316
CL-001716,2024-07-23,10760
CL-001717,2025-10-07,7356
CL-001718,2024-08-22,10490
CL-001719,2024-04-27,10243
CL-001720,2025-03-06,11630
CL-001721,2024-04-17,5460
CL-001722,2024-08-19,2782
CL-001723,2024-02-08,9236
CL-001724,2025-01-24,6635
CL-001725,2025-07-03,30308
CL-001726,2024-03-17,11862
CL-001727,2024-01-19,12429
CL-001728,2025-02-07,12860
CL-001729,2024-04-30,11414
CL-001730,2025-03-12,2178
CL-001731,2025-08-10,3599
CL-001732,2024-08-29,8546
CL-001733,2024-12-04,39015
CL-001734,2024-07-27,1475
CL-001735,2025-12-17,42243
CL-001736,2025-05-08,8246
CL-001737,2024-09-04,13904
CL-001738,2025-09-15,11734
CL-001739,2025-11-03,8156
CL-001740,2025-12-28,8836
CL-001741,2025-10-29,5696
CL-001742,2024-09-20,6347
CL-001743,2024-09-02,3827
CL-001744,2024-08-17,45455
CL-001745,2024-03-12,1259
CL-001746,2025-10-30,4759
CL-001747,2025-08-30,3565
CL-001748,2024-05-23,5250
CL-001749,2025-10-30,10225
